Inputs,10,Outputs,1
Train,Date,Cash Surplus,Consumer Price Inflation,Exports goods and services growth,Import goods and services growth,Foreign direct investment inflows,Gross Savings,Labour Participation,Secondary School,Unemployment,Vulnerable Employment,GDP Growth
Unseen,2006-06-31,-3.2396318163,5.5255150553,7.1860809024,13.4592875319,1.7660192748,17.9443392747,69.9500007629,73.76945,8.25,27.8000001907,3.5558838287
Unseen,2006-12-31,-2.8851689655,4.18368053,5.0415183867,18.4488884377,1.7795751443,18.0271536578,69.8000030518,68.64702,8.1000003815,27.2000007629,3.9554152693
Unseen,2007-06-31,-2.3779631126,3.9103542303,5.6200753362,19.161539279,2.5205219851,18.2452169631,69.6000022888,73.294055,7.6000001431,27.1000003815,5.025435123
Unseen,2007-12-31,-1.8707572597,3.6370279306,6.1986322856,19.8741901203,3.261468826,18.4632802683,69.4000015259,77.94109,7.0999999046,27,6.0954549768
Unseen,2008-06-31,-1.5397258166,4.6500632262,3.3720559471,17.6154341368,3.164306177,18.8456451574,69.5,79.965735,7.7000000477,26.1000003815,5.6323769956
Unseen,2008-12-31,-1.2086943735,5.6630985218,0.5454796085,15.3566781532,3.0671435281,19.2280100465,69.5999984741,81.99038,8.3000001907,25.2000007629,5.1692990144
Unseen,2009-06-31,-2.339325944,5.2747534824,-4.2902082156,3.8792389613,2.5051063698,17.7273287206,69.7000007629,73.886385,7.3500001431,25.1500005722,2.4205254873
Unseen,2009-12-31,-3.4699575145,4.886408443,-9.1258960398,-7.5982002305,1.9430692114,16.2266473948,69.8000030518,65.78239,6.4000000954,25.1000003815,-0.3282480399
Unseen,2010-06-31,-2.5693163511,4.962362698,1.1963976486,14.1191259703,2.2161392027,17.0408753448,69.8500022888,71.86174,6.75,26.0500001907,3.6026837065
Unseen,2010-12-31,-1.6686751876,5.0383169529,11.518691337,35.8364521711,2.489209194,17.8551032948,69.9000015259,77.94109,7.0999999046,27,7.5336154529
Unseen,2011-06-31,-2.1254428354,5.8372578051,8.0040937504,22.7927100973,2.6888658805,17.7068910339,69.9000015259,78.416485,7.7499997616,27.6999998093,5.1330623481
Unseen,2011-12-31,-2.5822104832,6.6361986573,4.4894961637,9.7489680235,2.8885225669,17.5586787731,69.9000015259,78.89188,8.3999996185,28.3999996185,2.7325092432
Train,1990-12-31,4.2346660373,874.6218468946,18.16,-46.417347071,0.2522786484,29.7144182395,67.6999969482,96.3822,5.1999998093,0.8000000119,-2.9999956419
Train,1991-06-31,4.2346660373,874.6218468946,15.715,-46.417347071,0.2522786484,29.7144182395,67.2999992371,95.66869,5.1999998093,0.8000000119,-4.023467547
Train,1991-12-31,4.2346660373,874.6218468946,13.27,-46.417347071,0.2522786484,29.7144182395,66.9000015259,94.95518,5.1999998093,0.8000000119,-5.0469394521
Train,1992-06-31,4.2346660373,874.6218468946,37.795,-39.7706733135,0.2522786484,29.7144182395,66.25,94.046305,5.1999998093,0.8000000119,-9.7890066127
Train,1992-12-31,4.2346660373,874.6218468946,62.32,-33.1239995559,0.2522786484,29.7144182395,65.5999984741,93.13743,5.1999998093,0.8000000119,-14.5310737732
Train,1993-06-31,4.2346660373,874.6218468946,50.26,-21.6412943727,0.2653154903,29.7144182395,64.4499988556,92.09346,5.5499999523,0.9500000179,-11.5998070576
Train,1993-12-31,4.2346660373,874.6218468946,38.2,-10.1585891894,0.2783523322,29.7144182395,63.2999992371,91.04949,5.9000000954,1.1000000238,-8.6685403419
Train,1994-06-31,4.2346660373,591.1281280501,32.98,-2.9703621722,0.2264988033,29.7144182395,62.1499996185,90.46631,7.0000002384,1.3500000238,-10.6191481603
Train,1994-12-31,4.2346660373,307.6344092056,27.76,4.217864845,0.1746452745,29.7144182395,61,89.88313,8.1000003815,1.6000000238,-12.5697559787
Train,1995-06-31,4.2346660373,252.5528969604,28.525,12.687490122,0.3483657807,28.9884270937,60.8999996185,90.13567,8.75,1.8000000119,-8.3566421927
Train,1995-12-31,4.2346660373,197.4713847153,29.29,21.1571153989,0.5220862869,28.2624359479,60.7999992371,90.38821,9.3999996185,2,-4.1435284067
Train,1996-06-31,4.2346660373,122.6065256903,27.68,11.2285576994,0.5902311902,27.5790904436,60.25,90.63107,9.5499997139,2.1000000238,-3.8717642033
Train,1996-12-31,4.2346660373,47.7416666653,26.07,1.3,0.6583760935,26.8957449393,59.7000007629,90.87393,9.6999998093,2.2000000477,-3.6
Train,1997-06-31,4.2346660373,31.254216491,25.4,0.85,0.9298702524,24.6610621125,58.8999996185,90.87526,10.75,2.5500000715,-1.1
Train,1997-12-31,4.2346660373,14.7667663167,24.73,0.4,1.2013644114,22.4263792857,58.0999984741,90.87659,11.8000001907,2.9000000954,1.4
Train,1998-06-31,4.2346660373,21.2208039058,27.975,-8.5,1.1102279218,20.1829224825,57.5999984741,91.350835,12.5500001907,2.9000000954,-1.95
Train,1998-12-31,4.2346660373,27.6748414949,31.22,-17.4,1.0190914322,17.9394656792,57.0999984741,91.82508,13.3000001907,2.9000000954,-5.3
Train,1999-06-31,4.2346660373,56.7083115032,37.22,-17.2,1.3541941507,23.6715014201,59.0999984741,92.064845,13.1500000954,5.5499999523,0.55
Train,1999-12-31,4.2346660373,85.7417815116,43.22,-17,1.6892968693,29.403537161,61.0999984741,92.30461,13,8.1999998093,6.4
Train,2000-06-31,4.2346660373,53.2590611939,43.64,7.7,1.3672016123,33.2601097657,61.1499996185,92.30461,11.8000001907,7.9499998093,8.2
Train,2000-12-31,4.2346660373,20.7763408763,44.06,32.4,1.0451063554,37.1166823704,61.2000007629,92.30461,10.6000003815,7.6999998093,10
Train,2001-06-31,4.2346660373,21.1171029498,40.475,25.5575578084,0.9707367445,35.2779991326,60.6000003815,91.97326,9.8000001907,6.8499999046,7.5459921156
Train,2001-12-31,4.2346660373,21.4578650233,36.89,18.7151156168,0.8963671335,33.4393158948,60,91.64191,9,6,5.0919842313
Train,2002-06-31,5.6325334889,18.6249330607,36.07,16.6502619823,0.94963635,31.3571808583,60.2000007629,91.64191,8.4500000477,6,4.9178270641
Train,2002-12-31,7.0304009406,15.7920010981,35.25,14.5854083477,1.0029055664,29.2750458217,60.4000015259,91.64191,7.9000000954,6,4.7436698968
Train,2003-06-31,4.6189781321,14.7358607301,35.25,15.9427041739,1.4260677971,29.6368620232,59.9000015259,91.64191,8.0499999523,5.9000000954,6.0197621137
Train,2003-12-31,2.2075553237,13.679720362,35.25,17.3,1.8492300277,29.9986782248,59.4000015259,91.64191,8.1999998093,5.8000001907,7.2958543306
Train,2004-06-31,3.7442364048,12.2703375629,34.835,20.3,2.231208469,30.7653089318,59.6500015259,88.509535,8,5.8500001431,7.2359017617
Train,2004-12-31,5.2809174859,10.8609547638,34.42,23.3,2.6131869103,31.5319396387,59.9000015259,85.37716,7.8000001907,5.9000000954,7.1759491927
Unseen,2005-06-31,7.5819929328,11.7721471825,34.81,19.95,2.1499044696,31.7358919093,60.1500015259,84.254765,7.5,6.0499999523,6.7760681099
Unseen,2005-12-31,9.8830683797,12.6833396012,35.2,16.6,1.6866220289,31.9398441799,60.4000015259,83.13237,7.1999998093,6.1999998093,6.376187027
Unseen,2006-06-31,8.9545814043,11.1810523606,34.465,18.95,2.3434883416,31.8209191168,60.75,83.191885,7.1999998093,6.0999999046,7.2648095
Unseen,2006-12-31,8.026094429,9.67876512,33.73,21.3,3.0003546543,31.7019940537,61.0999984741,83.2514,7.1999998093,6,8.1534319729
Unseen,2007-06-31,7.1060604962,9.3429961032,31.945,23.75,3.6188567733,31.2926152597,61.5499992371,83.95202,6.6499998569,5.9000000954,8.344256091
Unseen,2007-12-31,6.1860265634,9.0072270865,30.16,26.2,4.2373588923,30.8832364656,62,84.65264,6.0999999046,5.8000001907,8.5350802091
Unseen,2008-06-31,5.9029419047,11.5574902968,30.735,20.5,4.3766370923,32.0271566356,62.2999992371,85.325885,6.2000000477,5.75,6.8915168706
Unseen,2008-12-31,5.6198572461,14.1077535071,31.31,14.8,4.5159152923,33.1710768057,62.5999984741,85.99913,6.3000001907,5.6999998093,5.2479535322
Unseen,2009-06-31,0.7052944081,12.880915683,34.625,-7.8,3.7506039758,28.4179626426,62.6499996185,87.28545,7.3499999046,5.6999998093,-1.2864657473
Unseen,2009-12-31,-4.2092684299,11.6540778588,37.94,-30.4,2.9852926593,23.6648484796,62.7000007629,88.57177,8.3999996185,5.6999998093,-7.8208850268
Unseen,2010-06-31,-3.0609630163,9.2560485692,33.945,-2.3,2.9476797512,26.0696873909,62.7000007629,88.57177,7.9499998093,5.6999998093,-1.6585797006
Unseen,2010-12-31,-1.9126576027,6.8580192795,29.95,25.8,2.9100668431,28.4745263022,62.7000007629,88.57177,7.5,5.6999998093,4.5037256256
Unseen,2011-06-31,1.1610042173,7.6465101531,30.5,23.05,2.8782043474,29.9191839275,62.8500003815,88.57177,7.0499999523,5.6999998093,4.3973612447
Unseen,2011-12-31,4.2346660373,8.4350010266,31.05,20.3,2.8463418517,31.3638415527,63,88.57177,6.5999999046,5.6999998093,4.2909968637
Train,1990-12-31,-3.3279746701,8.9712335433,11.1044182148,3.3658227632,0.0724691341,23.4162634831,61,44.70228,3.7000000477,83.0999984741,5.5334545628
Train,1991-06-31,-2.7693118401,11.4207398152,10.383352272,1.6905116228,0.0496127162,23.0534348421,60.9500007629,44.70228,3.7000000477,83.0999984741,3.2951429997
Train,1991-12-31,-2.2106490101,13.8702460872,9.6622863292,0.0152004824,0.0267562983,22.6906062011,60.9000015259,44.70228,3.7000000477,83.0999984741,1.0568314366
Train,1992-06-31,-2.2387641751,12.8290326697,7.2777652898,10.5716398969,0.0605223592,23.2319106881,60.9000015259,44.70228,3.7000000477,83.0999984741,3.2696137283
Train,1992-12-31,-2.26687934,11.7878192521,4.8932442504,21.1280793113,0.0942884202,23.7732151751,60.9000015259,44.70228,3.7000000477,83.0999984741,5.4823960201
Train,1993-06-31,-3.0519801825,9.0749289578,9.3364190078,20.1976720567,0.1439742933,22.9520727655,60.9000015259,44.70228,3.7000000477,83.0999984741,5.116586121
Train,1993-12-31,-3.8370810249,6.3620386635,13.7795937651,19.2672648022,0.1936601665,22.130930356,60.9000015259,44.70228,3.7000000477,83.0999984741,4.7507762219
Train,1994-06-31,-3.0997964779,8.2867694975,13.4116294257,20.9344290651,0.2429605934,23.2700075104,60.9000015259,44.920825,3.7000000477,83.0999984741,5.7048501439
Train,1994-12-31,-2.362511931,10.2115003314,13.0436650862,22.6015933279,0.2922610204,24.4090846649,60.9000015259,45.13937,3.7000000477,83.0999984741,6.658924066
Train,1995-06-31,-2.2528083575,10.2181939444,22.2198690891,25.3637358245,0.4384968744,25.3902047249,60.75,45.09671,2.9500000477,83.0999984741,7.1167079525
Train,1995-12-31,-2.1431047841,10.2248875574,31.3960730919,28.1258783211,0.5847327285,26.3713247848,60.5999984741,45.05405,2.2000000477,83.0999984741,7.574491839
Train,1996-06-31,-2.0635012705,9.6010183154,18.8429017646,12.8429453001,0.595785147,24.7012738741,60.5,45.14881,2.1499999762,83.0999984741,7.5620070459
Train,1996-12-31,-1.9838977569,8.9771490734,6.2897304373,-2.4399877208,0.6068375656,23.0312229634,60.4000015259,45.24357,2.0999999046,83.0999984741,7.5495222528
Train,1997-06-31,-2.3630432476,8.0707013468,1.9807771006,5.3803481968,0.7261107311,24.4969845961,60.3000011444,45.631585,2.3499999046,83.25,5.7996715497
Train,1997-12-31,-2.7421887384,7.1642536202,-2.3281762362,13.2006841144,0.8453838965,25.9627462287,60.2000007629,46.0196,2.5999999046,83.4000015259,4.0498208465
Train,1998-06-31,-2.9940766507,10.1975472619,5.7780727993,17.0231377214,0.729946383,24.8098092383,60.0500011444,45.664895,3.0999999046,83.4000015259,5.1171183346
Train,1998-12-31,-3.2459645631,13.2308409036,13.8843218347,20.8455913285,0.6145088696,23.6568722479,59.9000015259,45.31019,3.5999999046,83.4000015259,6.1844158227
Train,1999-06-31,-3.2439959276,8.9503309642,15.9418956574,13.9190491971,0.5407654963,25.3731608648,59.8000011444,44.37764,3.5999999046,83.4000015259,7.3237433284
Train,1999-12-31,-3.2420272921,4.6698210249,17.9994694801,6.9925070657,0.467022123,27.0894494817,59.7000007629,43.44509,3.5999999046,83.4000015259,8.4630708341
Train,2000-06-31,-3.5008907221,4.3396274935,18.0764902528,5.7911117639,0.6110421889,26.2274832815,59.6000003815,44.37764,3.9500000477,83.4000015259,6.2190617578
Train,2000-12-31,-3.7597541521,4.0094339622,18.1535110255,4.5897164621,0.7550622547,25.3655170813,59.5,45.31019,4.3000001907,83.4000015259,3.9750526816
Train,2001-06-31,-4.0232727033,3.8471206093,11.2315177716,3.7669825179,0.9331957506,26.2628824508,59.6000003815,45.421415,4.3000001907,83.4000015259,4.4596395274
Train,2001-12-31,-4.2867912545,3.6848072563,4.3095245177,2.9442485737,1.1113292464,27.1602478204,59.7000007629,45.53264,4.3000001907,83.4000015259,4.9442263732
Train,2002-06-31,-4.4391777937,4.0385035004,12.6972636668,7.4705339751,1.0937342584,26.9066724532,59.8500003815,46.43739,4.3000001907,83.25,4.4258801701
Train,2002-12-31,-4.5915643329,4.3921997445,21.085002816,11.9968193766,1.0761392703,26.6530970859,60,47.34214,4.3000001907,83.0999984741,3.9075339671
Train,2003-06-31,-3.9833854436,4.0990328334,15.3336113686,12.9403681639,0.8880485546,27.5761435614,60.1499996185,48.55553,4.3000001907,83.0999984741,5.9257642855
Train,2003-12-31,-3.3752065544,3.8058659223,9.5822199213,13.8839169513,0.6999578389,28.4991900369,60.2999992371,49.76892,4.3000001907,83.0999984741,7.943994604
Train,2004-06-31,-3.2876235103,3.7865522006,18.3793158706,18.0395758449,0.7498829368,30.7394852592,60.4499988556,50.57854,4.3500001431,83.0999984741,7.8963978966
Train,2004-12-31,-3.2000404662,3.7672384789,27.1764118199,22.1952347385,0.7998080347,32.9797804816,60.5999984741,51.38816,4.4000000954,83.0999984741,7.8488011891
Unseen,2005-06-31,-3.1889625594,4.0067959009,26.625122935,27.3914411796,0.8356064854,33.4406313042,60.6999988556,52.62208,4.4000000954,83.0999984741,8.5668367546
Unseen,2005-12-31,-3.1778846525,4.246353323,26.07383405,32.5876476208,0.8714049362,33.9014821268,60.7999992371,53.856,4.4000000954,83.0999984741,9.2848723201
Unseen,2006-06-31,-2.7103928008,5.1959378565,23.2146325914,27.0340941241,1.4908476256,34.5693716266,60.25,54.26355,4.4000000954,83.0999984741,9.2744185348
Unseen,2006-12-31,-2.2429009492,6.14552239,20.3554311329,21.4805406275,2.110290315,35.2372611264,59.7000007629,54.6711,4.4000000954,83.0999984741,9.2639647495
Unseen,2007-06-31,-1.3567580591,6.2577595669,13.14072713,15.8367244102,2.0734602016,35.9977709348,59.2000007629,55.855405,4.4000000954,83.0999984741,9.5326625379
Unseen,2007-12-31,-0.470615169,6.3699967439,5.9260231272,10.1929081929,2.0366300882,36.7582807431,58.7000007629,57.03971,4.4000000954,83.0999984741,9.8013603262
Unseen,2008-06-31,-2.670413983,7.3609065942,10.26171408,16.4532221253,2.7913073128,35.406894872,58.1499996185,58.600905,3.9500000477,81.9500007629,6.8461593126
Unseen,2008-12-31,-4.8702127969,8.3518164444,14.5974050327,22.7135360577,3.5459845373,34.0555090009,57.5999984741,60.1621,3.5,80.8000030518,3.8909582991
Unseen,2009-06-31,-5.1444563086,9.6146037821,4.9559811242,10.2886994718,3.0759832901,34.0797839321,57.0999984741,59.84859,3.5,80.8000030518,6.1853718211
Unseen,2009-12-31,-5.4186998202,10.8773911198,-4.6854427844,-2.1361371142,2.6059820428,34.1040588633,56.5999984741,59.53508,3.5,80.8000030518,8.4797853431
Unseen,2010-06-31,-4.530950682,11.4348440188,7.5035294712,6.8387730985,2.0774878738,34.5410681268,56.0999984741,61.37479,3.5,80.8000030518,9.5130834038
Unseen,2010-12-31,-3.6432015439,11.9922969178,19.6925017267,15.8136833111,1.5489937047,34.9780773902,55.5999984741,63.2145,3.5,80.8000030518,10.5463814645
Unseen,2011-06-31,-3.6626757109,10.4250711081,17.5175388432,18.6511450074,1.6338843886,33.3399098409,55.5999984741,63.2145,3.5,80.8000030518,8.4384490691
Unseen,2011-12-31,-3.6821498779,8.8578452985,15.3425759598,21.4886067036,1.7187750726,31.7017422915,55.5999984741,63.2145,3.5,80.8000030518,6.3305166738
Train,1990-12-31,1.5080260348,3.0583106724,4.9562370419,-20.3116701548,0.9769233689,39.3871300334,78.6999969482,37.65097,2.5,5.5,3.8
Train,1991-06-31,1.4569723365,3.300942986,7.804179932,-2.8320037944,1.0637397645,39.4597698527,78.8499984741,39.01978,2.3999999762,5.5,6.5
Train,1991-12-31,1.4059186381,3.5435752997,10.6521228221,14.6476625661,1.1505561601,39.532409672,79,40.38859,2.2999999523,5.5,9.2
Train,1992-06-31,1.2824395542,4.9419600907,11.5312030363,24.0989316162,1.8950121177,39.243480711,79.0499992371,42.136365,2.2999999523,5.5,11.7
Train,1992-12-31,1.1589604703,6.3403448818,12.4102832505,33.5502006663,2.6394680752,38.9545517501,79.0999984741,43.88414,2.2999999523,5.5,14.2
Train,1993-06-31,1.1498985335,10.4618054398,12.6389627078,33.5235608815,4.4428831691,40.4288293366,79,45.480005,2.4499999285,5.5,14.1
Train,1993-12-31,1.1408365966,14.5832659978,12.867642165,33.4969210967,6.2462982629,41.9031069231,78.9000015259,47.07587,2.5999999046,5.5,14
Train,1994-06-31,1.2603848159,19.4101770086,20.8186954948,21.7644367796,6.1440278194,42.6885727677,78.8500022888,47.913535,2.6999999285,5.4000000954,13.55
Train,1994-12-31,1.3799330351,24.2370880195,28.7697488247,10.0319524624,6.0417573759,43.4740386122,78.8000030518,48.7512,2.7999999523,5.3000001907,13.1
Train,1995-06-31,1.4879847667,20.5670759972,18.8294836006,11.5178518168,5.4830246669,43.1423517124,78.6500015259,50.493945,2.8500000238,5.3500001431,12
Train,1995-12-31,1.5960364983,16.897063975,8.8892183766,13.0037511712,4.924291958,42.8106648125,78.5,52.23669,2.9000000954,5.4000000954,10.9
Train,1996-06-31,1.5134836704,12.610539518,10.7718500898,13.6957313594,4.8088763098,42.353452868,78.4000015259,54.11952,2.9500000477,5.3500001431,10.45
Train,1996-12-31,1.4309308425,8.3240150609,12.654481803,14.3877115475,4.6934606616,41.8962409234,78.3000030518,56.00235,3,5.3000001907,10
Train,1997-06-31,2.0761539578,5.565429123,17.7904698522,12.7540972197,4.6685103626,42.1060913733,78.1500015259,57.076865,3.0499999523,5.1500000954,9.65
Train,1997-12-31,2.7213770732,2.8068431851,22.9264579014,11.1204828918,4.6435600635,42.3159418231,78,58.15138,3.0999999046,5,9.3
Train,1998-06-31,1.3607797027,0.9811085128,15.044505056,10.349342542,4.4675758802,41.5856346395,77.7999992371,58.15138,3.0999999046,5.0999999046,8.55
Train,1998-12-31,0.0001823322,-0.8446261595,7.1625522107,9.5782021922,4.2915916968,40.855327456,77.5999984741,58.15138,3.0999999046,5.1999998093,7.8
Train,1999-06-31,-0.3004716151,-1.1262588446,10.5203434971,12.8580999252,3.9344873242,39.8453287974,77.4500007629,59.774725,3.0999999046,5.4499998093,7.7
Train,1999-12-31,-0.6011255623,-1.4078915298,13.8781347835,16.1379976581,3.5773829517,38.8353301387,77.3000030518,61.39807,3.0999999046,5.6999998093,7.6
Train,2000-06-31,0.5214951641,-0.5762933761,22.9596748541,20.4889376379,3.3906982807,38.061178478,77.1500015259,61.74902,3.0999999046,5.6999998093,8
Train,2000-12-31,1.6441158906,0.2553047777,32.0412149247,24.8398776176,3.2040136097,37.2870268172,77,62.09997,3.0999999046,5.6999998093,8.4
Train,2001-06-31,2.5400957976,0.4891036426,21.0564333109,18.7909189208,3.2717218222,37.7100836027,76.7999992371,62.690745,3.3499999046,6.25,8.35
Train,2001-12-31,3.4360757046,0.7229025076,10.071651697,12.7419602239,3.3394300347,38.1331403882,76.5999984741,63.28152,3.5999999046,6.8000001907,8.3
Train,2002-06-31,3.1183136314,-0.0215233896,19.0645710201,14.1591823712,3.3655136858,39.4270312375,76.4500007629,63.865205,3.7999999523,7.3000001907,8.7
Train,2002-12-31,2.8005515582,-0.7659492868,28.0574903432,15.5764045185,3.3915973369,40.7209220867,76.3000030518,64.44889,4,7.8000001907,9.1
Train,2003-06-31,3.8968175273,0.1949802121,27.8430869789,23.3979172527,3.2027484203,42.4596642632,76.1000022888,65.63623,4.1500000954,7.75,9.55
Train,2003-12-31,4.9930834963,1.155909711,27.6286836145,31.2194299869,3.0138995036,44.1984064398,75.9000015259,66.82357,4.3000001907,7.6999998093,10
Train,2004-06-31,6.5417296861,2.5200461681,27.4777493963,30.5665949801,3.1145967187,45.5507649692,75.75,66.82357,4.25,7.6999998093,10.05
Train,2004-12-31,8.0903758758,3.8841826252,27.3268151781,29.9137599733,3.2152939338,46.9031234987,75.5999984741,66.82357,4.1999998093,7.6999998093,10.1
Unseen,2005-06-31,8.3322160049,2.852915191,25.4890349071,21.6725483992,3.9140977258,47.6102456347,75.4500007629,66.82357,4.1999998093,7.6999998093,10.7
Unseen,2005-12-31,8.574056134,1.8216477568,23.6512546361,13.4313368251,4.6129015178,48.3173677708,75.3000030518,66.82357,4.1999998093,7.6999998093,11.3
Unseen,2006-06-31,9.2595573839,1.6424184,23.7692864061,14.7368760088,4.5932970897,49.9639614856,75.2000007629,69.987455,4.1499998569,7.75,12
Unseen,2006-12-31,9.9450586338,1.4631890432,23.887318176,16.0424151926,4.5736926616,51.6105552003,75.0999984741,73.15134,4.0999999046,7.8000001907,12.7
Unseen,2007-06-31,13.3357034692,3.1067428324,21.8596402234,14.9871928644,4.5227769752,51.658983622,75,74.64744,4.0499999523,7.5,13.45
Unseen,2007-12-31,16.7263483046,4.7502966216,19.8319622707,13.9319705362,4.4718612888,51.7074120437,74.9000015259,76.14354,4,7.1999998093,14.2
Unseen,2008-06-31,17.2275583911,5.3073401721,14.1221817964,8.8590438498,4.1326710479,52.3038417282,74.7000007629,77.31703,4,7.2999999523,11.9
Unseen,2008-12-31,17.7287684776,5.8643837226,8.4124013221,3.7861171635,3.7934808071,52.9002714126,74.5,78.49052,4,7.4000000954,9.6
Unseen,2009-06-31,15.6331956998,2.580717293,-0.9562006305,3.9665060819,3.2096067661,53.1279570406,74.4500007629,79.27155,4,7.4000000954,9.4
Unseen,2009-12-31,13.537622922,-0.7029491365,-10.3248025831,4.1468950003,2.6257327252,53.3556426685,74.4000015259,80.05258,4,7.4000000954,9.2
